x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
6.486472945891783807e-04,4.467584917516079888e-79,-4.725492383846801205e-70,2.334175555942268833e-31,2.267505768949857410e-14,1.078355876814113281e+12,2.885563297059324928e+18,1.906609508631697920e+18
6.502404809619238878e-04,4.509240254018930441e-79,-4.603552716369991589e-70,2.305214177529197240e-31,2.235310862844095005e-14,1.065204426556757812e+12,2.855634268395433472e+18,1.887112420487939072e+18
6.518336673346693949e-04,4.547792122571159212e-79,-4.484664437439453199e-70,2.276392990109546101e-31,2.203398127848221398e-14,1.052112138542650024e+12,2.825704497061168128e+18,1.867614745313351168e+18
6.534268537074149020e-04,4.583289573400980658e-79,-4.368748726953376473e-70,2.247710484407612252e-31,2.171763593930349652e-14,1.039078284593839844e+12,2.795773991555782656e+18,1.848116489281654528e+18
6.550200400801603007e-04,4.615781107324219990e-79,-4.255728735861746406e-70,2.219165150816816181e-31,2.140403324094067427e-14,1.026102139813916382e+12,2.765842760377352192e+18,1.828617658565985792e+18
6.566132264529058078e-04,4.645314683580910851e-79,-4.145529535208607731e-70,2.190755479455617783e-31,2.109313413915527719e-14,1.013182982546127563e+12,2.735910812021587968e+18,1.809118259340456960e+18
6.582064128256513149e-04,4.671937727605974988e-79,-4.038078066447640239e-70,2.162479960221581955e-31,2.078489991084305307e-14,1.000320094332131836e+12,2.705978154982764032e+18,1.789618297779447808e+18
6.597995991983968220e-04,4.695697138734665270e-79,-3.933303092997886254e-70,2.134337082843530110e-31,2.047929214947852303e-14,9.875127598731955566e+11,2.676044797753465344e+18,1.770117780056915456e+18
6.613927855711423292e-04,4.716639297843854317e-79,-3.831135153007674852e-70,2.106325336931880945e-31,2.017627276059573619e-14,9.747602669890766602e+11,2.646110748823919616e+18,1.750616712347815424e+18
6.629859719438878363e-04,4.734810074929940567e-79,-3.731506513295343385e-70,2.078443212027187922e-31,1.987580395730448213e-14,9.620619065776850586e+11,2.616176016683441664e+18,1.731115100827488256e+18
6.645791583166333434e-04,4.750254836624377932e-79,-3.634351124436212621e-70,2.050689197646890518e-31,1.957784825584143723e-14,9.494169725751914062e+11,2.586240609819603456e+18,1.711612951671027968e+18
6.661723446893787421e-04,4.763018453647597895e-79,-3.539604576966085144e-70,2.023061783330340144e-31,1.928236847115583473e-14,9.368247619172275391e+11,2.556304536716688896e+18,1.692110271053952512e+18
6.677655310621242492e-04,4.773145308202243897e-79,-3.447204058672120890e-70,1.995559458682077926e-31,1.898932771252893274e-14,9.242845744987175293e+11,2.526367805858101760e+18,1.672607065152077824e+18
6.693587174348697563e-04,4.780679301306689397e-79,-3.357088312942955219e-70,1.968180713413493124e-31,1.869868937922727391e-14,9.117957131348410645e+11,2.496430425725871616e+18,1.653103340141615104e+18
