t(s),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),Total retention volume 1 (H m-2),Total solute volume 1 (H m-2),Total 1 volume 1 (H m-2),Recycling coefficient at surface 1 ()
0.007169517789085845,-3.1199783131056146e+22,377.66415546627377,2.824614450925081e+18,6.311533562926792e+16,2.7614991152958095e+18,0.9908535669943493
0.00788746956799443,-3.1209345541231423e+22,377.8924522413611,2.963695499912664e+18,6.5952499931525384e+16,2.897742999981137e+18,0.9911572533434319
0.008677216524793875,-3.121845148767043e+22,378.1319040984652,3.1094920380337137e+18,6.890615970519511e+16,3.0405858783285187e+18,0.9914464431583754
0.009545938177273262,-3.12271237767371e+22,378.38305213275936,3.262333146536451e+18,7.197985069119914e+16,3.190353295845251e+18,0.99172186073162
0.01050153199500059,-3.1235383930176315e+22,378.6464571179118,3.4225636894732805e+18,7.517710972939443e+16,3.347386579743887e+18,0.9919841895582272
0.01155268519450065,-3.124325227369348e+22,378.92269585368877,3.5905450932229996e+18,7.850146766243586e+16,3.512043625560565e+18,0.9922340751490203
0.012708953713950717,-3.125074801807641e+22,379.21235593293034,3.7666561668730685e+18,8.195644451096366e+16,3.6846997223621043e+18,0.9924721276068821
0.01398084908534579,-3.1257889334175457e+22,379.5160295267671,3.951293964622704e+18,8.55455468940413e+16,3.8657484177286625e+18,0.9926989240079998
0.015379933993880369,-3.1264693422750454e+22,379.8343075571419,4.1448746903666867e+18,8.92722664324974e+16,4.05560242393419e+18,0.9929150106200881
0.016918927393268408,-3.1271176579811304e+22,380.16777635613306,4.347834643524449e+18,9.314007623276285e+16,4.254694567291688e+18,0.993120904977499
0.01861182013259525,-3.1277354257647353e+22,380.51701929145264,4.5606312042812257e+18,9.715242091977934e+16,4.463478783361448e+18,0.9933170978194132
0.020474002145854774,-3.128324112131074e+22,380.8826255794601,4.783743856139412e+18,1.0131269464427136e+17,4.682431161495142e+18,0.9935040548836587
0.022166894885181615,-3.1288143800374277e+22,381.2013319250563,4.978273082257167e+18,1.0508731363258602e+17,4.873185768624584e+18,0.9936597558709871
0.02402907689844114,-3.129283538027851e+22,381.53722335318827,5.183517960673037e+18,1.0894574170966749e+17,5.074572218963371e+18,0.9938087526977734
0.02607747711302662,-3.1297313046458123e+22,381.89097421947355,5.400114643811653e+18,1.1289667027500213e+17,5.287217973536651e+18,0.9939509559780731
0.027939659126286147,-3.130106773248705e+22,382.2008755538166,5.590028410300016e+18,1.1646930410079587e+17,5.473559106199222e+18,0.9940701986032247
0.029988059340871627,-3.1304712138540475e+22,382.5291048976309,5.791467987764782e+18,1.2013310347940907e+17,5.671334884285374e+18,0.9941859389185481
0.032241299576915655,-3.1308242054005844e+22,382.87650948109274,6.005097453305481e+18,1.2390145409241682e+17,5.881195999213062e+18,0.9942980432019451
0.034289699791501135,-3.1311237664959384e+22,383.1821410779623,6.193169648405678e+18,1.2732383905733886e+17,6.065845809348335e+18,0.9943931788567725
0.036542940027545164,-3.1314182707759425e+22,383.50724801822423,6.393412996996721e+18,1.3084831627195278e+17,6.262564680724768e+18,0.9944867085505884
0.039021504287193594,-3.1317067462853997e+22,383.8528575709907,6.606530476691458e+18,1.3448535897504864e+17,6.472045117716408e+18,0.9945783236064801
0.04127474452323762,-3.1319537309480653e+22,384.15804082866947,6.794708389674991e+18,1.3779954817903074e+17,6.656908841495961e+18,0.9946567618549023
0.04375330878288605,-3.1321988420625427e+22,384.4838900360055,6.995628777496014e+18,1.4122177329447314e+17,6.854407004201541e+18,0.9947346050953728
0.04647972946849933,-3.1324409464689254e+22,384.8315863753947,7.210040352260451e+18,1.4476059911327885e+17,7.065279753147177e+18,0.9948114934550264
0.04895829372814776,-3.132649636092814e+22,385.13956920691794,7.399787419527735e+18,1.479940609592068e+17,7.251793358568528e+18,0.9948777698318064
0.05168471441376103,-3.132858230045108e+22,385.46942082090703,7.60282201139284e+18,1.5133845629414266e+17,7.451483555098702e+18,0.9949440158248685
0.054683777167935634,-3.1330655844580427e+22,385.82244496660485,7.819941346053581e+18,1.54801047891338e+17,7.665140298162244e+18,0.9950098681607086
0.05741019785354891,-3.133245282683192e+22,386.1359119161943,8.012423213942553e+18,1.5797237520779434e+17,7.854450838734757e+18,0.9950669373482167
0.06040926060772351,-3.133425901861539e+22,386.47243150396474,8.218736373020258e+18,1.6125555062704317e+17,8.057480822393209e+18,0.9951242990152452
0.06370822963731557,-3.1336063462305687e+22,386.8334043435682,8.439728033592571e+18,1.646569525582833e+17,8.275071081034284e+18,0.9951816051657226
0.06670729239149017,-3.1337634131574102e+22,387.15450639464376,8.635919001444398e+18,1.6777914724900566e+17,8.46813985419539e+18,0.9952314870267804
0.07000626142108224,-3.13392198288784e+22,387.49981078427135,8.846497894771977e+18,1.710127480524258e+17,8.675485146719554e+18,0.9952818461534301
0.07300532417525685,-3.134059663200639e+22,387.8076043231038,9.033804130394165e+18,1.739543084374798e+17,8.85984982195669e+18,0.9953255711461547
0.07630429320484891,-3.134198803577989e+22,388.13925649714855,9.235250789051302e+18,1.7698914638396346e+17,9.058261642667341e+18,0.9953697598312591
0.07993315913740018,-3.134338838322056e+22,388.49626042491474,9.451760438202606e+18,1.8013198791021427e+17,9.271628450292398e+18,0.9954142325524569
0.08323212816699224,-3.134461546103995e+22,388.81472551111943,9.644539298819144e+18,1.830236907870609e+17,9.461515608032082e+18,0.995453202516742
0.08686099409954351,-3.1345866361439045e+22,389.1581134728726,9.85205669427839e+18,1.860275170813657e+17,9.666029177197021e+18,0.9954929290468013
0.09085274662534991,-3.134713224311357e+22,389.5279742440001,1.0075272741545181e+19,1.8914748453701e+17,9.886125257008175e+18,0.9955331313574176
0.09448161255790118,-3.1348245470186226e+22,389.85805397331677,1.0274156668096838e+19,1.9202682503061584e+17,1.0082129843066223e+19,0.9955684856100796
0.09847336508370758,-3.1349382764866883e+22,390.21409733222214,1.0488389187323808e+19,1.9501625474400733e+17,1.0293372932579803e+19,0.9956046042102096
0.10210223101625884,-3.1350379195093484e+22,390.5322269122235,1.067953011046451e+19,1.9774797918565805e+17,1.0481782131278852e+19,0.9956362491880013
0.10609398354206524,-3.135139632569732e+22,390.87578793160094,1.0885724991330013e+19,2.005701413714107e+17,1.0685154849958603e+19,0.9956685515755748
0.11048491132045228,-3.1352429231004996e+22,391.2463759434835,1.110800394659829e+19,2.0349568695742826e+17,1.0904508259640875e+19,0.9957013549416809
0.11447666384625868,-3.1353341187749895e+22,391.57748524625066,1.1306435417616544e+19,2.0620123755183382e+17,1.1100234180064719e+19,0.9957303171812527
0.11886759162464572,-3.1354278737202746e+22,391.9350237874919,1.152059332279131e+19,2.0901488981042314e+17,1.1311578432980892e+19,0.9957600922029471
0.12285934415045212,-3.1355104028623605e+22,392.25475945960767,1.1711987967567751e+19,2.1159306787027686e+17,1.1500394899697457e+19,0.9957863020950074
0.12725027192883914,-3.1355951284839036e+22,392.6003271362487,1.1918801835005889e+19,2.1425996850542624e+17,1.170454186650046e+19,0.9958132095526552
0.1320802924850649,-3.13568160547243e+22,392.97334856029715,1.2142120231724737e+19,2.170270968150935e+17,1.1925093134909649e+19,0.9958406732155224
0.13647122026345193,-3.1357582538827457e+22,393.30681654262816,1.234177137875016e+19,2.1959377964325917e+17,1.2122177599106904e+19,0.9958650154843282
0.14130124081967768,-3.1358374409922316e+22,393.66708277006296,1.2557562885715104e+19,2.2226618261249005e+17,1.2335296703102622e+19,0.9958901640020484
0.14569216859806472,-3.135907401999492e+22,393.98938054610664,1.2750665044764097e+19,2.2472133251279818e+17,1.2525943712251308e+19,0.9959123824621267
0.15052218915429047,-3.1359795343980663e+22,394.3378361568239,1.2959593408981465e+19,2.2726272106821782e+17,1.2732330687913253e+19,0.9959352905202125
0.1558352117661388,-3.136053443484812e+22,394.71408653297505,1.3185487801874917e+19,2.29901117499237e+17,1.2955586684375675e+19,0.9959587628251089
0.16066523232236454,-3.1361191588462907e+22,395.05051356912304,1.3387672274383423e+19,2.3235579184059014e+17,1.3155316482542821e+19,0.9959796329382292
0.16597825493421287,-3.1361873086709294e+22,395.4140428059595,1.3606454377341049e+19,2.3491353426130688e+17,1.3371540843079731e+19,0.9960012761966294
0.17080827549043862,-3.1362476946083163e+22,395.73930118968985,1.3802430544041736e+19,2.372692462524443e+17,1.3565161297789288e+19,0.9960204537727056
0.17612129810228694,-3.1363101620828966e+22,396.0909935377562,1.401468541519688e+19,2.3970849660765888e+17,1.3774976918589223e+19,0.9960402924106055
0.1809513186585127,-3.136365444012971e+22,396.40584101181923,1.4204974259440572e+19,2.4194860732424557e+17,1.3963025652116314e+19,0.9960578490382828
0.186264341270361,-3.136422755621714e+22,396.7464796022365,1.4411247008250747e+19,2.442701928117153e+17,1.4166976815439028e+19,0.9960760502583729
0.19210866614339417,-3.136481811282963e+22,397.11454553146825,1.4634695625905711e+19,2.4668404809107408e+17,1.4388011577814624e+19,0.9960948053607254
0.1974216887552425,-3.1365345246022975e+22,397.44384583124577,1.483503006120378e+19,2.489376260311465e+17,1.4586092435172628e+19,0.9961115462400678
0.20326601362827565,-3.1365895167981105e+22,397.799881658727,1.5052184016164168e+19,2.5129133275917504e+17,1.4800892683404997e+19,0.9961290108529304
0.20857903624012397,-3.1366384398710247e+22,398.1185911041842,1.5246997407518233e+19,2.5346618195842102e+17,1.4993531225559814e+19,0.9961445480126285
0.21442336111315713,-3.1366893278432403e+22,398.4633708714902,1.545831807834543e+19,2.5572244628624646e+17,1.5202595632059183e+19,0.9961607091918826
0.2208521184734936,-3.136741881664526e+22,398.83585980024935,1.5687392257123838e+19,2.5806888707009664e+17,1.5429323370053749e+19,0.9961773994172799
0.22669644334652675,-3.136788889508231e+22,399.1690694005259,1.5892894218258061e+19,2.6026634703756416e+17,1.5632627871220498e+19,0.9961923283318227
0.2331252007068632,-3.1368380156189283e+22,399.5292670115262,1.6115788175624286e+19,2.625607917775073e+17,1.5853227383846769e+19,0.9962079299729663
0.23896952557989637,-3.1368818000076464e+22,399.85164260543627,1.631586014288061e+19,2.6468622299584253e+17,1.605117391988477e+19,0.99622183517146
0.24539828294023283,-3.1369274186576366e+22,400.200308901299,1.6533006593169398e+19,2.6689075239238144e+17,1.6266115840777007e+19,0.9962363229010299
0.25124260781326596,-3.136967990203667e+22,400.5125027446948,1.6728041322996034e+19,2.689247172233463e+17,1.6459116605772687e+19,0.9962492077537656
0.25767136517360245,-3.137010318865319e+22,400.8503115148673,1.693985831752677e+19,2.7103565238463814e+17,1.6668822665142143e+19,0.9962626506373933
0.26474299826997255,-3.137054188089186e+22,401.2153359684941,1.7169754739381017e+19,2.732334402633846e+17,1.6896521299117631e+19,0.9962765827781287
0.27117175563030904,-3.137093522260215e+22,401.54190356886266,1.7376222786827747e+19,2.7529772556703834e+17,1.7100925061260708e+19,0.9962890746610067
0.27824338872667914,-3.137134789828795e+22,401.89493807638087,1.7600419346463216e+19,2.7745709833960768e+17,1.7322962248123611e+19,0.996302180559005
